media_subtype,vendor
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
CONTENT & PRODUCTION,SILVERPUSH GLOBAL PTE. LTD
VIDEO,VIDIO DOT COM; PT.
DISPLAY,DYNAMO MEDIA NETWORK; PT
TECH SERVICE,PT MINDO MANAGEMENT SOLUTIONS
VIDEO,AD ASIA TECHNOLOGY INDONESIA
DISPLAY,ADVOCACY WOM PTE LTD
SPONSORSHIP/ PACKAGE,WELOVESUPERMOM MARKETING INDONESIA; PT
DISPLAY,KEDO DIGITAL SOLUSI; PT.
AD-OPS,INTEGRAL AD SCIENCE SINGAPORE PTE LTD
VIDEO,GAGAS MAHADAYA INDERA; PT. (Programmatic)
CONTENT & PRODUCTION,SHOPEE INTERNATIONAL INDONESIA; PT
SEARCH,SHOPEE INTERNATIONAL INDONESIA; PT
FEE,ADV (SEA) PTE. LTD.
AD-OPS,INTEGRAL AD SCIENCE SINGAPORE PTE LTD
DISPLAY,KOMPAS CYBER MEDIA; PT.
AUDIO,THE TRADE DESK; INC.
SPONSORSHIP/ PACKAGE,GLOBAL LOYALTY INDONESIA; PT
PACKAGE,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,TICKLED AUDIENCE PLATFORM; PT
CONTENT & PRODUCTION,AD ASIA TECHNOLOGY INDONESIA
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
VIDEO,LIPUTAN6 DOT COM
MOBILE APP,GRAB TEKNOLOGI INDONESIA; PT.
AFFILIATE,INVOLVE ASIA INDONESIA;PT
DISPLAY,ALODOKTER TEKNOLOGI SOLUSI; PT
VIDEO,GAGAS MAHADAYA INDERA; PT. (Programmatic)
PAID VIDEO,HTTPOOL DIGITAL INDONESIA; PT.
INFLUENCER,LIPUTAN6 DOT COM
SEARCH,PT. MEDIA KAPITAL INDONESIA
PUBLISHER,KOMPAS CYBER MEDIA; PT.
DISPLAY,INDOSAT TBK; PT.
